region;statistikkvariabel;tid;Folkemengd og kvartalsvise endringar, etter region, statistikkvariabel og tid
0121 Rømskog;Folketalet ved inngangen av kvartalet;2016K1;672
0121 Rømskog;Fødde;2016K1;0
0121 Rømskog;Døde;2016K1;0
0121 Rømskog;Fødselsoverskot;2016K1;0
0121 Rømskog;Innvandring;2016K1;0
0121 Rømskog;Utvandring;2016K1;0
0121 Rømskog;Innflytting, innalandsk;2016K1;6
0121 Rømskog;Utflytting, innalandsk;2016K1;3
0121 Rømskog;Nettoinnflytting, inkl. inn- og utvandring;2016K1;3
0121 Rømskog;Folkevekst;2016K1;3
0121 Rømskog;Folketalet ved utgangen av kvartalet;2016K1;675
0122 Trøgstad;Folketalet ved inngangen av kvartalet;2016K1;5343
0122 Trøgstad;Fødde;2016K1;16
0122 Trøgstad;Døde;2016K1;14
0122 Trøgstad;Fødselsoverskot;2016K1;2
0122 Trøgstad;Innvandring;2016K1;13
0122 Trøgstad;Utvandring;2016K1;13
0122 Trøgstad;Innflytting, innalandsk;2016K1;76
0122 Trøgstad;Utflytting, innalandsk;2016K1;57
0122 Trøgstad;Nettoinnflytting, inkl. inn- og utvandring;2016K1;19
0122 Trøgstad;Folkevekst;2016K1;21
0122 Trøgstad;Folketalet ved utgangen av kvartalet;2016K1;5364
0123 Spydeberg;Folketalet ved inngangen av kvartalet;2016K1;5736
0123 Spydeberg;Fødde;2016K1;17
0123 Spydeberg;Døde;2016K1;9
0123 Spydeberg;Fødselsoverskot;2016K1;8
0123 Spydeberg;Innvandring;2016K1;17
0123 Spydeberg;Utvandring;2016K1;6
0123 Spydeberg;Innflytting, innalandsk;2016K1;81
0123 Spydeberg;Utflytting, innalandsk;2016K1;114
0123 Spydeberg;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-22
0123 Spydeberg;Folkevekst;2016K1;-14
0123 Spydeberg;Folketalet ved utgangen av kvartalet;2016K1;5722
0124 Askim;Folketalet ved inngangen av kvartalet;2016K1;15615
0124 Askim;Fødde;2016K1;47
0124 Askim;Døde;2016K1;42
0124 Askim;Fødselsoverskot;2016K1;5
0124 Askim;Innvandring;2016K1;26
0124 Askim;Utvandring;2016K1;9
0124 Askim;Innflytting, innalandsk;2016K1;198
0124 Askim;Utflytting, innalandsk;2016K1;177
0124 Askim;Nettoinnflytting, inkl. inn- og utvandring;2016K1;38
0124 Askim;Folkevekst;2016K1;43
0124 Askim;Folketalet ved utgangen av kvartalet;2016K1;15658
0125 Eidsberg;Folketalet ved inngangen av kvartalet;2016K1;11396
0125 Eidsberg;Fødde;2016K1;25
0125 Eidsberg;Døde;2016K1;15
0125 Eidsberg;Fødselsoverskot;2016K1;10
0125 Eidsberg;Innvandring;2016K1;23
0125 Eidsberg;Utvandring;2016K1;20
0125 Eidsberg;Innflytting, innalandsk;2016K1;154
0125 Eidsberg;Utflytting, innalandsk;2016K1;157
0125 Eidsberg;Nettoinnflytting, inkl. inn- og utvandring;2016K1;0
0125 Eidsberg;Folkevekst;2016K1;10
0125 Eidsberg;Folketalet ved utgangen av kvartalet;2016K1;11406
0127 Skiptvet;Folketalet ved inngangen av kvartalet;2016K1;3742
0127 Skiptvet;Fødde;2016K1;9
0127 Skiptvet;Døde;2016K1;8
0127 Skiptvet;Fødselsoverskot;2016K1;1
0127 Skiptvet;Innvandring;2016K1;6
0127 Skiptvet;Utvandring;2016K1;6
0127 Skiptvet;Innflytting, innalandsk;2016K1;39
0127 Skiptvet;Utflytting, innalandsk;2016K1;40
0127 Skiptvet;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-1
0127 Skiptvet;Folkevekst;2016K1;0
0127 Skiptvet;Folketalet ved utgangen av kvartalet;2016K1;3742
0128 Rakkestad;Folketalet ved inngangen av kvartalet;2016K1;8084
0128 Rakkestad;Fødde;2016K1;18
0128 Rakkestad;Døde;2016K1;20
0128 Rakkestad;Fødselsoverskot;2016K1;-2
0128 Rakkestad;Innvandring;2016K1;4
0128 Rakkestad;Utvandring;2016K1;11
0128 Rakkestad;Innflytting, innalandsk;2016K1;108
0128 Rakkestad;Utflytting, innalandsk;2016K1;86
0128 Rakkestad;Nettoinnflytting, inkl. inn- og utvandring;2016K1;15
0128 Rakkestad;Folkevekst;2016K1;13
0128 Rakkestad;Folketalet ved utgangen av kvartalet;2016K1;8097
0135 Råde;Folketalet ved inngangen av kvartalet;2016K1;7357
0135 Råde;Fødde;2016K1;12
0135 Råde;Døde;2016K1;15
0135 Råde;Fødselsoverskot;2016K1;-3
0135 Råde;Innvandring;2016K1;25
0135 Råde;Utvandring;2016K1;8
0135 Råde;Innflytting, innalandsk;2016K1;96
0135 Råde;Utflytting, innalandsk;2016K1;95
0135 Råde;Nettoinnflytting, inkl. inn- og utvandring;2016K1;18
0135 Råde;Folkevekst;2016K1;15
0135 Råde;Folketalet ved utgangen av kvartalet;2016K1;7372
0136 Rygge;Folketalet ved inngangen av kvartalet;2016K1;15458
0136 Rygge;Fødde;2016K1;28
0136 Rygge;Døde;2016K1;45
0136 Rygge;Fødselsoverskot;2016K1;-17
0136 Rygge;Innvandring;2016K1;30
0136 Rygge;Utvandring;2016K1;13
0136 Rygge;Innflytting, innalandsk;2016K1;215
0136 Rygge;Utflytting, innalandsk;2016K1;195
0136 Rygge;Nettoinnflytting, inkl. inn- og utvandring;2016K1;37
0136 Rygge;Folkevekst;2016K1;20
0136 Rygge;Folketalet ved utgangen av kvartalet;2016K1;15478
0137 Våler (Østf.);Folketalet ved inngangen av kvartalet;2016K1;5186
0137 Våler (Østf.);Fødde;2016K1;12
0137 Våler (Østf.);Døde;2016K1;8
0137 Våler (Østf.);Fødselsoverskot;2016K1;4
0137 Våler (Østf.);Innvandring;2016K1;17
0137 Våler (Østf.);Utvandring;2016K1;1
0137 Våler (Østf.);Innflytting, innalandsk;2016K1;93
0137 Våler (Østf.);Utflytting, innalandsk;2016K1;87
0137 Våler (Østf.);Nettoinnflytting, inkl. inn- og utvandring;2016K1;22
0137 Våler (Østf.);Folkevekst;2016K1;26
0137 Våler (Østf.);Folketalet ved utgangen av kvartalet;2016K1;5212
0138 Hobøl;Folketalet ved inngangen av kvartalet;2016K1;5382
0138 Hobøl;Fødde;2016K1;15
0138 Hobøl;Døde;2016K1;16
0138 Hobøl;Fødselsoverskot;2016K1;-1
0138 Hobøl;Innvandring;2016K1;17
0138 Hobøl;Utvandring;2016K1;4
0138 Hobøl;Innflytting, innalandsk;2016K1;128
0138 Hobøl;Utflytting, innalandsk;2016K1;124
0138 Hobøl;Nettoinnflytting, inkl. inn- og utvandring;2016K1;17
0138 Hobøl;Folkevekst;2016K1;16
0138 Hobøl;Folketalet ved utgangen av kvartalet;2016K1;5398
0211 Vestby;Folketalet ved inngangen av kvartalet;2016K1;16732
0211 Vestby;Fødde;2016K1;49
0211 Vestby;Døde;2016K1;29
0211 Vestby;Fødselsoverskot;2016K1;20
0211 Vestby;Innvandring;2016K1;32
0211 Vestby;Utvandring;2016K1;23
0211 Vestby;Innflytting, innalandsk;2016K1;278
0211 Vestby;Utflytting, innalandsk;2016K1;180
0211 Vestby;Nettoinnflytting, inkl. inn- og utvandring;2016K1;107
0211 Vestby;Folkevekst;2016K1;127
0211 Vestby;Folketalet ved utgangen av kvartalet;2016K1;16859
0213 Ski;Folketalet ved inngangen av kvartalet;2016K1;30261
0213 Ski;Fødde;2016K1;83
0213 Ski;Døde;2016K1;52
0213 Ski;Fødselsoverskot;2016K1;31
0213 Ski;Innvandring;2016K1;81
0213 Ski;Utvandring;2016K1;35
0213 Ski;Innflytting, innalandsk;2016K1;377
0213 Ski;Utflytting, innalandsk;2016K1;352
0213 Ski;Nettoinnflytting, inkl. inn- og utvandring;2016K1;71
0213 Ski;Folkevekst;2016K1;102
0213 Ski;Folketalet ved utgangen av kvartalet;2016K1;30363
0214 Ås;Folketalet ved inngangen av kvartalet;2016K1;18992
0214 Ås;Fødde;2016K1;45
0214 Ås;Døde;2016K1;30
0214 Ås;Fødselsoverskot;2016K1;15
0214 Ås;Innvandring;2016K1;78
0214 Ås;Utvandring;2016K1;38
0214 Ås;Innflytting, innalandsk;2016K1;383
0214 Ås;Utflytting, innalandsk;2016K1;305
0214 Ås;Nettoinnflytting, inkl. inn- og utvandring;2016K1;118
0214 Ås;Folkevekst;2016K1;133
0214 Ås;Folketalet ved utgangen av kvartalet;2016K1;19125
0215 Frogn;Folketalet ved inngangen av kvartalet;2016K1;15695
0215 Frogn;Fødde;2016K1;30
0215 Frogn;Døde;2016K1;36
0215 Frogn;Fødselsoverskot;2016K1;-6
0215 Frogn;Innvandring;2016K1;43
0215 Frogn;Utvandring;2016K1;21
0215 Frogn;Innflytting, innalandsk;2016K1;171
0215 Frogn;Utflytting, innalandsk;2016K1;174
0215 Frogn;Nettoinnflytting, inkl. inn- og utvandring;2016K1;19
0215 Frogn;Folkevekst;2016K1;13
0215 Frogn;Folketalet ved utgangen av kvartalet;2016K1;15708
0216 Nesodden;Folketalet ved inngangen av kvartalet;2016K1;18623
0216 Nesodden;Fødde;2016K1;55
0216 Nesodden;Døde;2016K1;39
0216 Nesodden;Fødselsoverskot;2016K1;16
0216 Nesodden;Innvandring;2016K1;44
0216 Nesodden;Utvandring;2016K1;20
0216 Nesodden;Innflytting, innalandsk;2016K1;189
0216 Nesodden;Utflytting, innalandsk;2016K1;223
0216 Nesodden;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-10
0216 Nesodden;Folkevekst;2016K1;6
0216 Nesodden;Folketalet ved utgangen av kvartalet;2016K1;18629
0217 Oppegård;Folketalet ved inngangen av kvartalet;2016K1;26792
0217 Oppegård;Fødde;2016K1;57
0217 Oppegård;Døde;2016K1;44
0217 Oppegård;Fødselsoverskot;2016K1;13
0217 Oppegård;Innvandring;2016K1;43
0217 Oppegård;Utvandring;2016K1;30
0217 Oppegård;Innflytting, innalandsk;2016K1;292
0217 Oppegård;Utflytting, innalandsk;2016K1;282
0217 Oppegård;Nettoinnflytting, inkl. inn- og utvandring;2016K1;23
0217 Oppegård;Folkevekst;2016K1;36
0217 Oppegård;Folketalet ved utgangen av kvartalet;2016K1;26828
0219 Bærum;Folketalet ved inngangen av kvartalet;2016K1;122348
0219 Bærum;Fødde;2016K1;353
0219 Bærum;Døde;2016K1;247
0219 Bærum;Fødselsoverskot;2016K1;106
0219 Bærum;Innvandring;2016K1;353
0219 Bærum;Utvandring;2016K1;354
0219 Bærum;Innflytting, innalandsk;2016K1;1441
0219 Bærum;Utflytting, innalandsk;2016K1;1234
0219 Bærum;Nettoinnflytting, inkl. inn- og utvandring;2016K1;206
0219 Bærum;Folkevekst;2016K1;312
0219 Bærum;Folketalet ved utgangen av kvartalet;2016K1;122660
0220 Asker;Folketalet ved inngangen av kvartalet;2016K1;60106
0220 Asker;Fødde;2016K1;147
0220 Asker;Døde;2016K1;92
0220 Asker;Fødselsoverskot;2016K1;55
0220 Asker;Innvandring;2016K1;170
0220 Asker;Utvandring;2016K1;145
0220 Asker;Innflytting, innalandsk;2016K1;695
0220 Asker;Utflytting, innalandsk;2016K1;645
0220 Asker;Nettoinnflytting, inkl. inn- og utvandring;2016K1;75
0220 Asker;Folkevekst;2016K1;130
0220 Asker;Folketalet ved utgangen av kvartalet;2016K1;60236
0221 Aurskog-Høland;Folketalet ved inngangen av kvartalet;2016K1;15914
0221 Aurskog-Høland;Fødde;2016K1;50
0221 Aurskog-Høland;Døde;2016K1;41
0221 Aurskog-Høland;Fødselsoverskot;2016K1;9
0221 Aurskog-Høland;Innvandring;2016K1;18
0221 Aurskog-Høland;Utvandring;2016K1;12
0221 Aurskog-Høland;Innflytting, innalandsk;2016K1;185
0221 Aurskog-Høland;Utflytting, innalandsk;2016K1;154
0221 Aurskog-Høland;Nettoinnflytting, inkl. inn- og utvandring;2016K1;37
0221 Aurskog-Høland;Folkevekst;2016K1;46
0221 Aurskog-Høland;Folketalet ved utgangen av kvartalet;2016K1;15960
0226 Sørum;Folketalet ved inngangen av kvartalet;2016K1;17443
0226 Sørum;Fødde;2016K1;56
0226 Sørum;Døde;2016K1;25
0226 Sørum;Fødselsoverskot;2016K1;31
0226 Sørum;Innvandring;2016K1;42
0226 Sørum;Utvandring;2016K1;30
0226 Sørum;Innflytting, innalandsk;2016K1;261
0226 Sørum;Utflytting, innalandsk;2016K1;224
0226 Sørum;Nettoinnflytting, inkl. inn- og utvandring;2016K1;49
0226 Sørum;Folkevekst;2016K1;80
0226 Sørum;Folketalet ved utgangen av kvartalet;2016K1;17523
0227 Fet;Folketalet ved inngangen av kvartalet;2016K1;11374
0227 Fet;Fødde;2016K1;30
0227 Fet;Døde;2016K1;17
0227 Fet;Fødselsoverskot;2016K1;13
0227 Fet;Innvandring;2016K1;19
0227 Fet;Utvandring;2016K1;9
0227 Fet;Innflytting, innalandsk;2016K1;184
0227 Fet;Utflytting, innalandsk;2016K1;146
0227 Fet;Nettoinnflytting, inkl. inn- og utvandring;2016K1;48
0227 Fet;Folkevekst;2016K1;61
0227 Fet;Folketalet ved utgangen av kvartalet;2016K1;11435
0228 Rælingen;Folketalet ved inngangen av kvartalet;2016K1;17426
0228 Rælingen;Fødde;2016K1;47
0228 Rælingen;Døde;2016K1;28
0228 Rælingen;Fødselsoverskot;2016K1;19
0228 Rælingen;Innvandring;2016K1;48
0228 Rælingen;Utvandring;2016K1;22
0228 Rælingen;Innflytting, innalandsk;2016K1;322
0228 Rælingen;Utflytting, innalandsk;2016K1;319
0228 Rælingen;Nettoinnflytting, inkl. inn- og utvandring;2016K1;29
0228 Rælingen;Folkevekst;2016K1;48
0228 Rælingen;Folketalet ved utgangen av kvartalet;2016K1;17474
0229 Enebakk;Folketalet ved inngangen av kvartalet;2016K1;10870
0229 Enebakk;Fødde;2016K1;35
0229 Enebakk;Døde;2016K1;21
0229 Enebakk;Fødselsoverskot;2016K1;14
0229 Enebakk;Innvandring;2016K1;28
0229 Enebakk;Utvandring;2016K1;9
0229 Enebakk;Innflytting, innalandsk;2016K1;169
0229 Enebakk;Utflytting, innalandsk;2016K1;191
0229 Enebakk;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-3
0229 Enebakk;Folkevekst;2016K1;11
0229 Enebakk;Folketalet ved utgangen av kvartalet;2016K1;10881
0230 Lørenskog;Folketalet ved inngangen av kvartalet;2016K1;36368
0230 Lørenskog;Fødde;2016K1;81
0230 Lørenskog;Døde;2016K1;53
0230 Lørenskog;Fødselsoverskot;2016K1;28
0230 Lørenskog;Innvandring;2016K1;115
0230 Lørenskog;Utvandring;2016K1;54
0230 Lørenskog;Innflytting, innalandsk;2016K1;653
0230 Lørenskog;Utflytting, innalandsk;2016K1;535
0230 Lørenskog;Nettoinnflytting, inkl. inn- og utvandring;2016K1;179
0230 Lørenskog;Folkevekst;2016K1;207
0230 Lørenskog;Folketalet ved utgangen av kvartalet;2016K1;36575
0231 Skedsmo;Folketalet ved inngangen av kvartalet;2016K1;52522
0231 Skedsmo;Fødde;2016K1;136
0231 Skedsmo;Døde;2016K1;106
0231 Skedsmo;Fødselsoverskot;2016K1;30
0231 Skedsmo;Innvandring;2016K1;154
0231 Skedsmo;Utvandring;2016K1;86
0231 Skedsmo;Innflytting, innalandsk;2016K1;852
0231 Skedsmo;Utflytting, innalandsk;2016K1;825
0231 Skedsmo;Nettoinnflytting, inkl. inn- og utvandring;2016K1;95
0231 Skedsmo;Folkevekst;2016K1;125
0231 Skedsmo;Folketalet ved utgangen av kvartalet;2016K1;52647
0233 Nittedal;Folketalet ved inngangen av kvartalet;2016K1;22857
0233 Nittedal;Fødde;2016K1;49
0233 Nittedal;Døde;2016K1;42
0233 Nittedal;Fødselsoverskot;2016K1;7
0233 Nittedal;Innvandring;2016K1;35
0233 Nittedal;Utvandring;2016K1;10
0233 Nittedal;Innflytting, innalandsk;2016K1;278
0233 Nittedal;Utflytting, innalandsk;2016K1;233
0233 Nittedal;Nettoinnflytting, inkl. inn- og utvandring;2016K1;70
0233 Nittedal;Folkevekst;2016K1;77
0233 Nittedal;Folketalet ved utgangen av kvartalet;2016K1;22934
0234 Gjerdrum;Folketalet ved inngangen av kvartalet;2016K1;6323
0234 Gjerdrum;Fødde;2016K1;15
0234 Gjerdrum;Døde;2016K1;11
0234 Gjerdrum;Fødselsoverskot;2016K1;4
0234 Gjerdrum;Innvandring;2016K1;20
0234 Gjerdrum;Utvandring;2016K1;3
0234 Gjerdrum;Innflytting, innalandsk;2016K1;89
0234 Gjerdrum;Utflytting, innalandsk;2016K1;72
0234 Gjerdrum;Nettoinnflytting, inkl. inn- og utvandring;2016K1;34
0234 Gjerdrum;Folkevekst;2016K1;38
0234 Gjerdrum;Folketalet ved utgangen av kvartalet;2016K1;6361
0235 Ullensaker;Folketalet ved inngangen av kvartalet;2016K1;34189
0235 Ullensaker;Fødde;2016K1;108
0235 Ullensaker;Døde;2016K1;49
0235 Ullensaker;Fødselsoverskot;2016K1;59
0235 Ullensaker;Innvandring;2016K1;124
0235 Ullensaker;Utvandring;2016K1;77
0235 Ullensaker;Innflytting, innalandsk;2016K1;535
0235 Ullensaker;Utflytting, innalandsk;2016K1;461
0235 Ullensaker;Nettoinnflytting, inkl. inn- og utvandring;2016K1;121
0235 Ullensaker;Folkevekst;2016K1;180
0235 Ullensaker;Folketalet ved utgangen av kvartalet;2016K1;34369
0236 Nes (Ak.);Folketalet ved inngangen av kvartalet;2016K1;20783
0236 Nes (Ak.);Fødde;2016K1;80
0236 Nes (Ak.);Døde;2016K1;40
0236 Nes (Ak.);Fødselsoverskot;2016K1;40
0236 Nes (Ak.);Innvandring;2016K1;32
0236 Nes (Ak.);Utvandring;2016K1;23
0236 Nes (Ak.);Innflytting, innalandsk;2016K1;311
0236 Nes (Ak.);Utflytting, innalandsk;2016K1;209
0236 Nes (Ak.);Nettoinnflytting, inkl. inn- og utvandring;2016K1;111
0236 Nes (Ak.);Folkevekst;2016K1;151
0236 Nes (Ak.);Folketalet ved utgangen av kvartalet;2016K1;20934
0237 Eidsvoll;Folketalet ved inngangen av kvartalet;2016K1;23811
0237 Eidsvoll;Fødde;2016K1;66
0237 Eidsvoll;Døde;2016K1;49
0237 Eidsvoll;Fødselsoverskot;2016K1;17
0237 Eidsvoll;Innvandring;2016K1;70
0237 Eidsvoll;Utvandring;2016K1;26
0237 Eidsvoll;Innflytting, innalandsk;2016K1;336
0237 Eidsvoll;Utflytting, innalandsk;2016K1;222
0237 Eidsvoll;Nettoinnflytting, inkl. inn- og utvandring;2016K1;158
0237 Eidsvoll;Folkevekst;2016K1;175
0237 Eidsvoll;Folketalet ved utgangen av kvartalet;2016K1;23986
0238 Nannestad;Folketalet ved inngangen av kvartalet;2016K1;12267
0238 Nannestad;Fødde;2016K1;32
0238 Nannestad;Døde;2016K1;16
0238 Nannestad;Fødselsoverskot;2016K1;16
0238 Nannestad;Innvandring;2016K1;28
0238 Nannestad;Utvandring;2016K1;17
0238 Nannestad;Innflytting, innalandsk;2016K1;241
0238 Nannestad;Utflytting, innalandsk;2016K1;149
0238 Nannestad;Nettoinnflytting, inkl. inn- og utvandring;2016K1;103
0238 Nannestad;Folkevekst;2016K1;119
0238 Nannestad;Folketalet ved utgangen av kvartalet;2016K1;12386
0239 Hurdal;Folketalet ved inngangen av kvartalet;2016K1;2837
0239 Hurdal;Fødde;2016K1;10
0239 Hurdal;Døde;2016K1;8
0239 Hurdal;Fødselsoverskot;2016K1;2
0239 Hurdal;Innvandring;2016K1;4
0239 Hurdal;Utvandring;2016K1;2
0239 Hurdal;Innflytting, innalandsk;2016K1;29
0239 Hurdal;Utflytting, innalandsk;2016K1;39
0239 Hurdal;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-8
0239 Hurdal;Folkevekst;2016K1;-6
0239 Hurdal;Folketalet ved utgangen av kvartalet;2016K1;2831
0301 Oslo kommune;Folketalet ved inngangen av kvartalet;2016K1;658390
0301 Oslo kommune;Fødde;2016K1;2388
0301 Oslo kommune;Døde;2016K1;1069
0301 Oslo kommune;Fødselsoverskot;2016K1;1319
0301 Oslo kommune;Innvandring;2016K1;3392
0301 Oslo kommune;Utvandring;2016K1;2232
0301 Oslo kommune;Innflytting, innalandsk;2016K1;6292
0301 Oslo kommune;Utflytting, innalandsk;2016K1;6174
0301 Oslo kommune;Nettoinnflytting, inkl. inn- og utvandring;2016K1;1278
0301 Oslo kommune;Folkevekst;2016K1;2597
0301 Oslo kommune;Folketalet ved utgangen av kvartalet;2016K1;660987
0402 Kongsvinger;Folketalet ved inngangen av kvartalet;2016K1;17835
0402 Kongsvinger;Fødde;2016K1;41
0402 Kongsvinger;Døde;2016K1;65
0402 Kongsvinger;Fødselsoverskot;2016K1;-24
0402 Kongsvinger;Innvandring;2016K1;39
0402 Kongsvinger;Utvandring;2016K1;22
0402 Kongsvinger;Innflytting, innalandsk;2016K1;129
0402 Kongsvinger;Utflytting, innalandsk;2016K1;173
0402 Kongsvinger;Nettoinnflytting, inkl. inn- og utvandring;2016K1;-27
0402 Kongsvinger;Folkevekst;2016K1;-51
0402 Kongsvinger;Folketalet ved utgangen av kvartalet;2016K1;17784
0403 Hamar;Folketalet ved inngangen av kvartalet;2016K1;30120
0403 Hamar;Fødde;2016K1;52
0403 Hamar;Døde;2016K1;80
0403 Hamar;Fødselsoverskot;2016K1;-28
0403 Hamar;Innvandring;2016K1;65
0403 Hamar;Utvandring;2016K1;24
0403 Hamar;Innflytting, innalandsk;2016K1;426
0403 Hamar;Utflytting, innalandsk;2016K1;305
0403 Hamar;Nettoinnflytting, inkl. inn- og utvandring;2016K1;162
0403 Hamar;Folkevekst;2016K1;134
0403 Hamar;Folketalet ved utgangen av kvartalet;2016K1;30254
0412 Ringsaker;Folketalet ved inngangen av kvartalet;2016K1;33597
0412 Ringsaker;Fødde;2016K1;87
0412 Ringsaker;Døde;2016K1;98
0412 Ringsaker;Fødselsoverskot;2016K1;-11
0412 Ringsaker;Innvandring;2016K1;51
0412 Ringsaker;Utvandring;2016K1;24
0412 Ringsaker;Innflytting, innalandsk;2016K1;250
0412 Ringsaker;Utflytting, innalandsk;2016K1;247
0412 Ringsaker;Nettoinnflytting, inkl. inn- og utvandring;2016K1;30
0412 Ringsaker;Folkevekst;2016K1;19
0412 Ringsaker;Folketalet ved utgangen av kvartalet;2016K1;33616
0415 Løten;Folketalet ved inngangen av kvartalet;2016K1;7588
0415 Løten;Fødde;2016K1;18
0415 Løten;Døde;2016K1;16
0415 Løten;Fødselsoverskot;2016K1;2
0415 Løten;Innvandring;2016K1;23
0415 Løten;Utvandring;2016K1;12
0415 Løten;Innflytting, innalandsk;2016K1;90
0415 Løten;Utflytting, innalandsk;2016K1;68
0415 Løten;Nettoinnflytting, inkl. inn- og utvandring;2016K1;33
0415 Løten;Folkevekst;2016K1;35
0415 Løten;Folketalet ved utgangen av kvartalet;2016K1;7623
0417 Stange;Folketalet ved inngangen av kvartalet;2016K1;20119
0417 Stange;Fødde;2016K1;45
0417 Stange;Døde;2016K1;55
0417 Stange;Fødselsoverskot;2016K1;-10
0417 Stange;Innvandring;2016K1;25
0417 Stange;Utvandring;2016K1;16
0417 Stange;Innflytting, innalandsk;2016K1;214
0417 Stange;Utflytting, innalandsk;2016K1;207
0417 Stange;Nettoinnflytting, inkl. inn- og utvandring;2016K1;16
0417 Stange;Folkevekst;2016K1;6
0417 Stange;Folketalet ved utgangen av kvartalet;2016K1;20125
0418 Nord-Odal;Folketalet ved inngangen av kvartalet;2016K1;5131
0418 Nord-Odal;Fødde;2016K1;9
0418 Nord-Odal;Døde;2016K1;20
